codigo comunidad,comunidad,codigo provincia,provincia,año,nacimientos,defunciones,ratio_natalidad_mortalidad
07,Castilla y León,05,Ávila,2021,823.0,2.065,398.54721549636804
07,Castilla y León,05,Ávila,2020,838.0,2.537,330.31139140717386
07,Castilla y León,05,Ávila,2019,900.0,2.026,444.2250740375124
07,Castilla y León,05,Ávila,2018,929.0,2.039,455.6154977930358
07,Castilla y León,05,Ávila,2017,1.014,2.162,0.46901017576318227
07,Castilla y León,05,Ávila,2016,1.076,1.992,0.5401606425702812
07,Castilla y León,05,Ávila,2015,1.072,2.146,0.49953401677539616
07,Castilla y León,05,Ávila,2014,1.189,2.04,0.582843137254902
07,Castilla y León,05,Ávila,2013,1.133,2.064,0.5489341085271318
07,Castilla y León,05,Ávila,2012,1.224,2.102,0.582302568981922
07,Castilla y León,05,Ávila,2011,1.319,2.044,0.6453033268101761
07,Castilla y León,05,Ávila,2010,1.387,2.062,0.6726479146459748
07,Castilla y León,05,Ávila,2009,1.433,1.994,0.7186559679037111
07,Castilla y León,05,Ávila,2008,1.486,2.014,0.7378351539225423
07,Castilla y León,05,Ávila,2007,1.321,2.118,0.6237016052880076
07,Castilla y León,05,Ávila,2006,1.323,2.057,0.6431696645600389
07,Castilla y León,05,Ávila,2005,1.298,2.063,0.6291808046534173
07,Castilla y León,05,Ávila,2004,1.19,2.026,0.5873642645607108
07,Castilla y León,05,Ávila,2003,1.137,1.977,0.575113808801214
07,Castilla y León,05,Ávila,2002,1.089,2.023,0.5383094414236282
07,Castilla y León,05,Ávila,2001,1.103,2.008,0.5493027888446215
07,Castilla y León,05,Ávila,2000,1.15,1.937,0.5937016004130098
07,Castilla y León,05,Ávila,1999,1.152,1.976,0.582995951417004
07,Castilla y León,05,Ávila,1998,1.109,2.081,0.5329168668909179
07,Castilla y León,05,Ávila,1997,1.161,1.925,0.6031168831168832
07,Castilla y León,05,Ávila,1996,1.246,1.929,0.6459305339554173
07,Castilla y León,05,Ávila,1995,1.313,1.942,0.67610710607621
07,Castilla y León,05,Ávila,1994,1.271,1.9,0.6689473684210526
07,Castilla y León,05,Ávila,1993,1.305,1.781,0.7327344188658057
07,Castilla y León,05,Ávila,1992,1.261,1.772,0.7116252821670428
07,Castilla y León,05,Ávila,1991,1.319,1.833,0.7195853791598472
07,Castilla y León,05,Ávila,1990,1.446,1.823,0.7931980252331322
07,Castilla y León,05,Ávila,1989,1.462,1.738,0.8411967779056386
07,Castilla y León,05,Ávila,1988,1.45,1.699,0.8534432018834608
07,Castilla y León,05,Ávila,1987,1.526,1.674,0.911589008363202
07,Castilla y León,05,Ávila,1986,1.592,1.676,0.9498806682577566
07,Castilla y León,05,Ávila,1985,1.615,1.64,0.9847560975609757
07,Castilla y León,05,Ávila,1984,1.658,1.569,1.0567240280433396
07,Castilla y León,05,Ávila,1983,1.613,1.508,1.0696286472148542
07,Castilla y León,05,Ávila,1982,1.746,1.481,1.1789331532748142
07,Castilla y León,05,Ávila,1981,1.793,1.57,1.1420382165605094
07,Castilla y León,05,Ávila,1980,1.937,1.423,1.3612087139845397
07,Castilla y León,05,Ávila,1979,2.004,1.614,1.241635687732342
07,Castilla y León,05,Ávila,1978,2.119,1.733,1.2227351413733412
07,Castilla y León,05,Ávila,1977,2.114,1.809,1.1686014372581537
07,Castilla y León,05,Ávila,1976,2.087,1.788,1.1672259507829978
07,Castilla y León,05,Ávila,1975,2.285,1.915,1.1932114882506528
07,Castilla y León,05,Ávila,1974,2.401,1.938,1.23890608875129
07,Castilla y León,05,Ávila,1973,2.506,2.007,1.2486297957149974
07,Castilla y León,05,Ávila,1972,2.581,2.024,1.275197628458498
07,Castilla y León,05,Ávila,1971,2.626,2.133,1.2311298640412565
07,Castilla y León,05,Ávila,1970,2.846,2.018,1.410307234886026
07,Castilla y León,05,Ávila,1969,2.894,2.109,1.3722143195827408
07,Castilla y León,05,Ávila,1968,3.112,1.988,1.5653923541247485
07,Castilla y León,05,Ávila,1967,3.303,2.016,1.6383928571428572
07,Castilla y León,05,Ávila,1966,3.431,1.878,1.826943556975506
07,Castilla y León,05,Ávila,1965,3.725,2.024,1.840415019762846
07,Castilla y León,05,Ávila,1964,4.014,2.088,1.9224137931034484
07,Castilla y León,05,Ávila,1963,4.269,2.16,1.9763888888888888
07,Castilla y León,05,Ávila,1962,4.569,2.209,2.0683567224988684
07,Castilla y León,05,Ávila,1961,4.644,2.197,2.113791533909877
07,Castilla y León,05,Ávila,1960,4.962,2.171,2.285582680792262
07,Castilla y León,05,Ávila,1959,4.934,2.265,2.1783664459161147
07,Castilla y León,05,Ávila,1958,4.908,2.223,2.20782726045884
07,Castilla y León,05,Ávila,1957,5.17,2.574,2.0085470085470085
07,Castilla y León,05,Ávila,1956,5.182,2.553,2.0297688993341167
07,Castilla y León,05,Ávila,1955,5.329,2.42,2.2020661157024795
07,Castilla y León,05,Ávila,1954,5.299,2.491,2.127258129265355
07,Castilla y León,05,Ávila,1953,5.598,2.684,2.085692995529061
07,Castilla y León,05,Ávila,1952,5.841,2.664,2.1925675675675675
07,Castilla y León,05,Ávila,1951,5.709,3.026,1.8866490416391275
07,Castilla y León,05,Ávila,1950,5.902,2.877,2.0514424748001394
07,Castilla y León,05,Ávila,1949,6.229,2.981,2.0895672593089567
07,Castilla y León,05,Ávila,1948,6.748,2.914,2.3157172271791353
07,Castilla y León,05,Ávila,1947,5.801,3.17,1.8299684542586752
07,Castilla y León,05,Ávila,1946,6.278,3.382,1.8562980484920164
07,Castilla y León,05,Ávila,1945,6.84,3.414,2.003514938488576
07,Castilla y León,05,Ávila,1944,6.625,3.413,1.9411075300322298
07,Castilla y León,05,Ávila,1943,6.579,3.731,1.763334226748861
07,Castilla y León,05,Ávila,1942,6.339,3.757,1.6872504657971787
07,Castilla y León,05,Ávila,1941,6.038,4.52,1.335840707964602
11,Extremadura,06,Badajoz,2022,4.587,7.347,0.6243364638628011
11,Extremadura,06,Badajoz,2021,4.867,7.429,0.6551352806568852
11,Extremadura,06,Badajoz,2020,5.003,7.47,0.6697456492637216
11,Extremadura,06,Badajoz,2019,5.203,6.783,0.7670647206250921
11,Extremadura,06,Badajoz,2018,5.277,6.913,0.7633444235498337
11,Extremadura,06,Badajoz,2017,5.784,6.896,0.8387470997679815
11,Extremadura,06,Badajoz,2016,5.894,6.755,0.872538860103627
11,Extremadura,06,Badajoz,2015,5.994,6.898,0.8689475210205857
11,Extremadura,06,Badajoz,2014,6.204,6.56,0.9457317073170732
11,Extremadura,06,Badajoz,2013,5.987,6.608,0.9060230024213076
11,Extremadura,06,Badajoz,2012,6.507,6.814,0.9549457000293513
11,Extremadura,06,Badajoz,2011,6.695,6.408,1.0447877652933832
11,Extremadura,06,Badajoz,2010,6.883,6.642,1.0362842517314061
11,Extremadura,06,Badajoz,2009,7.04,6.573,1.0710482275977482
11,Extremadura,06,Badajoz,2008,7.294,6.358,1.1472161056936143
11,Extremadura,06,Badajoz,2007,6.752,6.517,1.0360595365965934
11,Extremadura,06,Badajoz,2006,6.851,6.362,1.0768626218170387
11,Extremadura,06,Badajoz,2005,6.543,6.853,0.9547643367868087
11,Extremadura,06,Badajoz,2004,6.419,6.306,1.0179194418014588
11,Extremadura,06,Badajoz,2003,6.541,6.75,0.9690370370370371
11,Extremadura,06,Badajoz,2002,6.361,6.536,0.9732252141982864
11,Extremadura,06,Badajoz,2001,6.459,6.205,1.040934730056406
11,Extremadura,06,Badajoz,2000,6.466,6.301,1.0261863196318044
11,Extremadura,06,Badajoz,1999,6.537,6.551,0.9978629216913448
11,Extremadura,06,Badajoz,1998,6.44,6.411,1.004523475276868
11,Extremadura,06,Badajoz,1997,6.691,6.255,1.0697042366107115
11,Extremadura,06,Badajoz,1996,6.809,6.399,1.0640725113298952
11,Extremadura,06,Badajoz,1995,7.037,6.297,1.1175162775925045
11,Extremadura,06,Badajoz,1994,7.338,6.202,1.18316672041277
11,Extremadura,06,Badajoz,1993,7.7,6.538,1.177730192719486
11,Extremadura,06,Badajoz,1992,8.056,6.293,1.280152550452884
11,Extremadura,06,Badajoz,1991,8.194,6.57,1.2471841704718418
11,Extremadura,06,Badajoz,1990,8.174,6.397,1.2777864624042519
11,Extremadura,06,Badajoz,1989,8.566,6.305,1.3586042823156228
11,Extremadura,06,Badajoz,1988,8.83,6.193,1.425803326336186
11,Extremadura,06,Badajoz,1987,8.938,6.102,1.4647656506063587
11,Extremadura,06,Badajoz,1986,8.893,6.204,1.4334300451321729
11,Extremadura,06,Badajoz,1985,8.817,6.042,1.4592850049652433
11,Extremadura,06,Badajoz,1984,9.333,6.106,1.5284965607599084
11,Extremadura,06,Badajoz,1983,9.619,6.418,1.4987535057650359
11,Extremadura,06,Badajoz,1982,9.938,5.85,1.6988034188034191
11,Extremadura,06,Badajoz,1981,9.712,6.139,1.5820166150838897
11,Extremadura,06,Badajoz,1980,10.097,5.852,1.7253930280246068
11,Extremadura,06,Badajoz,1979,10.131,6.122,1.6548513557660895
11,Extremadura,06,Badajoz,1978,10.234,6.358,1.6096256684491979
11,Extremadura,06,Badajoz,1977,10.028,6.277,1.5975784610482715
11,Extremadura,06,Badajoz,1976,10.432,6.325,1.6493280632411067
11,Extremadura,06,Badajoz,1975,10.405,6.234,1.6690728264356753
11,Extremadura,06,Badajoz,1974,10.847,6.401,1.6945789720356195
11,Extremadura,06,Badajoz,1973,11.209,6.271,1.7874342210173815
11,Extremadura,06,Badajoz,1972,11.688,6.008,1.9454061251664447
11,Extremadura,06,Badajoz,1971,12.071,6.758,1.7861793430008879
11,Extremadura,06,Badajoz,1970,12.572,6.416,1.9594763092269325
11,Extremadura,06,Badajoz,1969,13.478,6.884,1.9578733294596165
11,Extremadura,06,Badajoz,1968,13.565,6.712,2.0210071513706795
11,Extremadura,06,Badajoz,1967,14.01,6.579,2.129502963976288
11,Extremadura,06,Badajoz,1966,14.56,6.549,2.223240189341884
11,Extremadura,06,Badajoz,1965,15.434,6.555,2.3545385202135773
11,Extremadura,06,Badajoz,1964,17.451,7.113,2.453395191902151
11,Extremadura,06,Badajoz,1963,17.665,7.327,2.4109458168418176
11,Extremadura,06,Badajoz,1962,18.383,7.257,2.5331404161499242
11,Extremadura,06,Badajoz,1961,18.696,7.209,2.5934248855597173
11,Extremadura,06,Badajoz,1960,19.428,7.317,2.6551865518655187
11,Extremadura,06,Badajoz,1959,19.65,8.068,2.4355478433316806
11,Extremadura,06,Badajoz,1958,20.089,7.31,2.7481532147742818
11,Extremadura,06,Badajoz,1957,19.163,8.45,2.2678106508875744
11,Extremadura,06,Badajoz,1956,18.515,8.168,2.2667727717923607
11,Extremadura,06,Badajoz,1955,18.922,8.065,2.3461872287662744
11,Extremadura,06,Badajoz,1954,18.55,7.61,2.437582128777924
11,Extremadura,06,Badajoz,1953,19.198,7.681,2.4994141387840125
11,Extremadura,06,Badajoz,1952,19.302,8.041,2.400447705509265
11,Extremadura,06,Badajoz,1951,19.138,9.425,2.030557029177719
11,Extremadura,06,Badajoz,1950,17.49,8.614,2.0304156025075457
11,Extremadura,06,Badajoz,1949,19.826,9.083,2.1827590003302872
11,Extremadura,06,Badajoz,1948,21.904,8.909,2.4586373330340106
11,Extremadura,06,Badajoz,1947,20.007,9.17,2.181788440567067
11,Extremadura,06,Badajoz,1946,17.52,12.343,1.419428015879446
11,Extremadura,06,Badajoz,1945,20.533,10.024,2.0483838786911415
11,Extremadura,06,Badajoz,1944,21.098,10.129,2.082930200414651
11,Extremadura,06,Badajoz,1943,21.709,10.708,2.0273627194620842
11,Extremadura,06,Badajoz,1942,17.529,12.561,1.3955099116312395
11,Extremadura,06,Badajoz,1941,14.853,23.544,0.630861365953109
04,Illes Balears,07,"Balears, Illes",2022,8.952,9.32,0.9605150214592274
04,Illes Balears,07,"Balears, Illes",2021,9.437,8.802,1.0721426948420814
04,Illes Balears,07,"Balears, Illes",2020,9.36,8.559,1.0935856992639328
04,Illes Balears,07,"Balears, Illes",2019,9.598,7.995,1.2005003126954348
04,Illes Balears,07,"Balears, Illes",2018,10.215,8.206,1.2448208627833293
04,Illes Balears,07,"Balears, Illes",2017,10.228,8.353,1.2244702502095055
04,Illes Balears,07,"Balears, Illes",2016,10.551,7.939,1.329008691270941
04,Illes Balears,07,"Balears, Illes",2015,10.562,8.322,1.2691660658495554
04,Illes Balears,07,"Balears, Illes",2014,10.627,7.847,1.3542755193067415
04,Illes Balears,07,"Balears, Illes",2013,10.476,7.66,1.3676240208877286
04,Illes Balears,07,"Balears, Illes",2012,10.957,8.068,1.3580813088745662
04,Illes Balears,07,"Balears, Illes",2011,11.222,7.668,1.4634846113719353
04,Illes Balears,07,"Balears, Illes",2010,11.901,7.683,1.5490042951971885
04,Illes Balears,07,"Balears, Illes",2009,11.988,7.794,1.53810623556582
04,Illes Balears,07,"Balears, Illes",2008,12.64,7.488,1.688034188034188
04,Illes Balears,07,"Balears, Illes",2007,11.871,7.233,1.6412277063459146
04,Illes Balears,07,"Balears, Illes",2006,11.639,7.25,1.6053793103448275
04,Illes Balears,07,"Balears, Illes",2005,10.884,7.361,1.4786034506181227
04,Illes Balears,07,"Balears, Illes",2004,10.717,7.05,1.5201418439716312
04,Illes Balears,07,"Balears, Illes",2003,10.605,7.355,1.4418762746431
04,Illes Balears,07,"Balears, Illes",2002,10.364,7.114,1.4568456564520664
04,Illes Balears,07,"Balears, Illes",2001,9.841,7.02,1.401851851851852
04,Illes Balears,07,"Balears, Illes",2000,9.443,7.31,1.2917920656634747
04,Illes Balears,07,"Balears, Illes",1999,8.829,7.418,1.1902129954165543
04,Illes Balears,07,"Balears, Illes",1998,8.281,7.079,1.1697979940669587
04,Illes Balears,07,"Balears, Illes",1997,8.147,6.962,1.1702097098534905
04,Illes Balears,07,"Balears, Illes",1996,7.781,6.789,1.1461187214611872
04,Illes Balears,07,"Balears, Illes",1995,7.661,6.894,1.111256164780969
04,Illes Balears,07,"Balears, Illes",1994,7.637,6.664,1.1460084033613445
04,Illes Balears,07,"Balears, Illes",1993,7.856,6.796,1.1559741024131842
04,Illes Balears,07,"Balears, Illes",1992,8.414,6.641,1.2669778647794006
04,Illes Balears,07,"Balears, Illes",1991,8.54,6.895,1.2385786802030456
04,Illes Balears,07,"Balears, Illes",1990,8.739,6.742,1.296202907149214
04,Illes Balears,07,"Balears, Illes",1989,8.768,6.716,1.3055390113162597
04,Illes Balears,07,"Balears, Illes",1988,8.656,6.237,1.3878467211800545
04,Illes Balears,07,"Balears, Illes",1987,8.56,6.363,1.3452773848813453
04,Illes Balears,07,"Balears, Illes",1986,8.691,6.619,1.3130382232965707
04,Illes Balears,07,"Balears, Illes",1985,8.853,6.495,1.3630484988452656
04,Illes Balears,07,"Balears, Illes",1984,8.8,6.134,1.4346266710140203
04,Illes Balears,07,"Balears, Illes",1983,8.882,6.478,1.3711021920345785
04,Illes Balears,07,"Balears, Illes",1982,9.056,5.707,1.5868231995794637
04,Illes Balears,07,"Balears, Illes",1981,9.349,5.438,1.7191982346450903
04,Illes Balears,07,"Balears, Illes",1980,9.808,5.52,1.7768115942028986
04,Illes Balears,07,"Balears, Illes",1979,10.006,5.652,1.77034677990092
04,Illes Balears,07,"Balears, Illes",1978,9.923,5.572,1.7808686288585787
04,Illes Balears,07,"Balears, Illes",1977,10.279,5.688,1.8071378340365682
04,Illes Balears,07,"Balears, Illes",1976,11.036,5.76,1.9159722222222222
04,Illes Balears,07,"Balears, Illes",1975,11.024,5.803,1.8997070480785798
04,Illes Balears,07,"Balears, Illes",1974,12.393,6.086,2.036312849162011
04,Illes Balears,07,"Balears, Illes",1973,12.256,6.409,1.9123108129193322
04,Illes Balears,07,"Balears, Illes",1972,11.895,5.912,2.0120094722598103
04,Illes Balears,07,"Balears, Illes",1971,11.855,6.313,1.8778710597180424
04,Illes Balears,07,"Balears, Illes",1970,10.823,5.947,1.8199091979149151
04,Illes Balears,07,"Balears, Illes",1969,10.474,6.041,1.7338189041549412
04,Illes Balears,07,"Balears, Illes",1968,10.091,5.442,1.8542815141492097
