Total Nacional;Provincias;Sexo;Periodo;Total
Total Nacional;;Mujeres;2019;175.094
Total Nacional;;Mujeres;2018;181.208
Total Nacional;;Mujeres;2017;190.703
Total Nacional;;Mujeres;2016;199.496
Total Nacional;;Mujeres;2015;203.794
Total Nacional;;Mujeres;2014;206.752
Total Nacional;;Mujeres;2013;206.659
Total Nacional;;Mujeres;2012;220.262
Total Nacional;;Mujeres;2011;228.707
Total Nacional;;Mujeres;2010;235.848
Total Nacional;;Mujeres;2009;239.043
Total Nacional;;Mujeres;2008;251.402
Total Nacional;;Mujeres;2007;238.632
Total Nacional;;Mujeres;2006;233.773
Total Nacional;;Mujeres;2005;226.170
Total Nacional;;Mujeres;2004;219.716
Total Nacional;;Mujeres;2003;214.297
Total Nacional;;Mujeres;2002;202.851
Total Nacional;;Mujeres;2001;197.593
Total Nacional;;Mujeres;2000;192.036
Total Nacional;;Mujeres;1999;184.388
Total Nacional;;Mujeres;1998;176.196
Total Nacional;;Mujeres;1997;178.923
Total Nacional;;Mujeres;1996;175.928
Total Nacional;;Mujeres;1995;176.070
Total Nacional;;Mujeres;1994;179.093
Total Nacional;;Mujeres;1993;186.380
Total Nacional;;Mujeres;1992;192.020
Total Nacional;;Mujeres;1991;191.111
Total Nacional;;Mujeres;1990;193.930
Total Nacional;;Mujeres;1989;197.233
Total Nacional;;Mujeres;1988;202.212
Total Nacional;;Mujeres;1987;205.485
Total Nacional;;Mujeres;1986;211.574
Total Nacional;;Mujeres;1985;220.069
Total Nacional;;Mujeres;1984;227.230
Total Nacional;;Mujeres;1983;233.767
Total Nacional;;Mujeres;1982;247.067
Total Nacional;;Mujeres;1981;254.833
Total Nacional;;Mujeres;1980;274.794
Total Nacional;;Mujeres;1979;291.081
Total Nacional;;Mujeres;1978;307.113
Total Nacional;;Mujeres;1977;317.256
Total Nacional;;Mujeres;1976;328.224
Total Nacional;;Mujeres;1975;322.992
Total Nacional;;Mujeres;1974;334.984
Total Nacional;;Mujeres;1973;326.888
Total Nacional;;Mujeres;1972;326.442
Total Nacional;;Mujeres;1971;326.241
Total Nacional;;Mujeres;1970;322.266
Total Nacional;;Mujeres;1969;323.855
Total Nacional;;Mujeres;1968;324.585
Total Nacional;;Mujeres;1967;330.810
Total Nacional;;Mujeres;1966;325.561
Total Nacional;;Mujeres;1965;329.334
Total Nacional;;Mujeres;1964;339.393
