Total Nacional;Provincias;Sexo;Periodo;Total
Total Nacional;09 Burgos;Hombres;1960;4.185
Total Nacional;09 Burgos;Hombres;1959;4.096
Total Nacional;09 Burgos;Hombres;1958;4.275
Total Nacional;09 Burgos;Hombres;1957;4.302
Total Nacional;09 Burgos;Hombres;1956;4.405
Total Nacional;09 Burgos;Hombres;1955;4.251
Total Nacional;09 Burgos;Hombres;1954;4.312
Total Nacional;09 Burgos;Hombres;1953;4.545
Total Nacional;09 Burgos;Hombres;1952;4.685
Total Nacional;09 Burgos;Hombres;1951;4.604
Total Nacional;09 Burgos;Hombres;1950;4.630
Total Nacional;09 Burgos;Hombres;1949;4.806
Total Nacional;09 Burgos;Hombres;1948;5.124
Total Nacional;09 Burgos;Hombres;1947;4.588
Total Nacional;09 Burgos;Hombres;1946;4.706
Total Nacional;09 Burgos;Hombres;1945;5.074
Total Nacional;09 Burgos;Hombres;1944;4.852
Total Nacional;09 Burgos;Hombres;1943;5.102
Total Nacional;09 Burgos;Hombres;1942;4.823
Total Nacional;09 Burgos;Hombres;1941;4.721
Total Nacional;09 Burgos;Mujeres;2022;1.055
Total Nacional;09 Burgos;Mujeres;2021;987
Total Nacional;09 Burgos;Mujeres;2020;1.066
Total Nacional;09 Burgos;Mujeres;2019;1.152
Total Nacional;09 Burgos;Mujeres;2018;1.126
Total Nacional;09 Burgos;Mujeres;2017;1.195
Total Nacional;09 Burgos;Mujeres;2016;1.258
Total Nacional;09 Burgos;Mujeres;2015;1.357
Total Nacional;09 Burgos;Mujeres;2014;1.342
Total Nacional;09 Burgos;Mujeres;2013;1.435
Total Nacional;09 Burgos;Mujeres;2012;1.470
Total Nacional;09 Burgos;Mujeres;2011;1.569
Total Nacional;09 Burgos;Mujeres;2010;1.568
Total Nacional;09 Burgos;Mujeres;2009;1.593
Total Nacional;09 Burgos;Mujeres;2008;1.719
Total Nacional;09 Burgos;Mujeres;2007;1.554
Total Nacional;09 Burgos;Mujeres;2006;1.482
Total Nacional;09 Burgos;Mujeres;2005;1.468
Total Nacional;09 Burgos;Mujeres;2004;1.408
Total Nacional;09 Burgos;Mujeres;2003;1.359
Total Nacional;09 Burgos;Mujeres;2002;1.308
Total Nacional;09 Burgos;Mujeres;2001;1.332
Total Nacional;09 Burgos;Mujeres;2000;1.309
Total Nacional;09 Burgos;Mujeres;1999;1.285
Total Nacional;09 Burgos;Mujeres;1998;1.173
Total Nacional;09 Burgos;Mujeres;1997;1.292
Total Nacional;09 Burgos;Mujeres;1996;1.246
Total Nacional;09 Burgos;Mujeres;1995;1.163
Total Nacional;09 Burgos;Mujeres;1994;1.253
Total Nacional;09 Burgos;Mujeres;1993;1.330
Total Nacional;09 Burgos;Mujeres;1992;1.381
Total Nacional;09 Burgos;Mujeres;1991;1.338
Total Nacional;09 Burgos;Mujeres;1990;1.383
Total Nacional;09 Burgos;Mujeres;1989;1.465
Total Nacional;09 Burgos;Mujeres;1988;1.481
Total Nacional;09 Burgos;Mujeres;1987;1.528
Total Nacional;09 Burgos;Mujeres;1986;1.579
Total Nacional;09 Burgos;Mujeres;1985;1.676
Total Nacional;09 Burgos;Mujeres;1984;1.657
Total Nacional;09 Burgos;Mujeres;1983;1.831
Total Nacional;09 Burgos;Mujeres;1982;1.900
Total Nacional;09 Burgos;Mujeres;1981;1.971
Total Nacional;09 Burgos;Mujeres;1980;2.028
Total Nacional;09 Burgos;Mujeres;1979;2.212
Total Nacional;09 Burgos;Mujeres;1978;2.389
Total Nacional;09 Burgos;Mujeres;1977;2.641
Total Nacional;09 Burgos;Mujeres;1976;2.809
Total Nacional;09 Burgos;Mujeres;1975;2.719
Total Nacional;09 Burgos;Mujeres;1974;2.727
Total Nacional;09 Burgos;Mujeres;1973;2.630
Total Nacional;09 Burgos;Mujeres;1972;2.707
Total Nacional;09 Burgos;Mujeres;1971;2.692
Total Nacional;09 Burgos;Mujeres;1970;2.689
Total Nacional;09 Burgos;Mujeres;1969;2.824
Total Nacional;09 Burgos;Mujeres;1968;2.927
Total Nacional;09 Burgos;Mujeres;1967;2.968
Total Nacional;09 Burgos;Mujeres;1966;2.945
Total Nacional;09 Burgos;Mujeres;1965;3.067
Total Nacional;09 Burgos;Mujeres;1964;3.391
Total Nacional;09 Burgos;Mujeres;1963;3.409
Total Nacional;09 Burgos;Mujeres;1962;3.483
Total Nacional;09 Burgos;Mujeres;1961;3.554
Total Nacional;09 Burgos;Mujeres;1960;3.760
Total Nacional;09 Burgos;Mujeres;1959;3.899
Total Nacional;09 Burgos;Mujeres;1958;3.851
Total Nacional;09 Burgos;Mujeres;1957;4.135
Total Nacional;09 Burgos;Mujeres;1956;3.977
Total Nacional;09 Burgos;Mujeres;1955;4.164
Total Nacional;09 Burgos;Mujeres;1954;4.078
Total Nacional;09 Burgos;Mujeres;1953;4.214
Total Nacional;09 Burgos;Mujeres;1952;4.334
Total Nacional;09 Burgos;Mujeres;1951;4.222
Total Nacional;09 Burgos;Mujeres;1950;4.562
Total Nacional;09 Burgos;Mujeres;1949;4.695
Total Nacional;09 Burgos;Mujeres;1948;4.802
Total Nacional;09 Burgos;Mujeres;1947;4.315
Total Nacional;09 Burgos;Mujeres;1946;4.549
Total Nacional;09 Burgos;Mujeres;1945;4.820
Total Nacional;09 Burgos;Mujeres;1944;4.600
Total Nacional;09 Burgos;Mujeres;1943;4.757
Total Nacional;09 Burgos;Mujeres;1942;4.460
Total Nacional;09 Burgos;Mujeres;1941;4.349
Total Nacional;10 Cáceres;Total;2022;2.204
Total Nacional;10 Cáceres;Total;2021;2.376
Total Nacional;10 Cáceres;Total;2020;2.399
Total Nacional;10 Cáceres;Total;2019;2.456
Total Nacional;10 Cáceres;Total;2018;2.576
Total Nacional;10 Cáceres;Total;2017;2.743
Total Nacional;10 Cáceres;Total;2016;2.881
Total Nacional;10 Cáceres;Total;2015;2.960
Total Nacional;10 Cáceres;Total;2014;2.979
Total Nacional;10 Cáceres;Total;2013;2.909
Total Nacional;10 Cáceres;Total;2012;2.937
Total Nacional;10 Cáceres;Total;2011;3.299
Total Nacional;10 Cáceres;Total;2010;3.309
Total Nacional;10 Cáceres;Total;2009;3.361
Total Nacional;10 Cáceres;Total;2008;3.530
Total Nacional;10 Cáceres;Total;2007;3.420
Total Nacional;10 Cáceres;Total;2006;3.421
Total Nacional;10 Cáceres;Total;2005;3.467
Total Nacional;10 Cáceres;Total;2004;3.478
Total Nacional;10 Cáceres;Total;2003;3.398
Total Nacional;10 Cáceres;Total;2002;3.385
Total Nacional;10 Cáceres;Total;2001;3.408
Total Nacional;10 Cáceres;Total;2000;3.606
Total Nacional;10 Cáceres;Total;1999;3.480
Total Nacional;10 Cáceres;Total;1998;3.553
Total Nacional;10 Cáceres;Total;1997;3.579
Total Nacional;10 Cáceres;Total;1996;3.705
Total Nacional;10 Cáceres;Total;1995;3.758
Total Nacional;10 Cáceres;Total;1994;3.920
Total Nacional;10 Cáceres;Total;1993;3.998
Total Nacional;10 Cáceres;Total;1992;4.203
Total Nacional;10 Cáceres;Total;1991;4.170
Total Nacional;10 Cáceres;Total;1990;4.234
Total Nacional;10 Cáceres;Total;1989;4.397
Total Nacional;10 Cáceres;Total;1988;4.679
Total Nacional;10 Cáceres;Total;1987;4.945
Total Nacional;10 Cáceres;Total;1986;5.010
Total Nacional;10 Cáceres;Total;1985;5.046
Total Nacional;10 Cáceres;Total;1984;4.751
Total Nacional;10 Cáceres;Total;1983;5.044
Total Nacional;10 Cáceres;Total;1982;5.331
Total Nacional;10 Cáceres;Total;1981;5.318
Total Nacional;10 Cáceres;Total;1980;5.605
Total Nacional;10 Cáceres;Total;1979;5.524
Total Nacional;10 Cáceres;Total;1978;5.750
Total Nacional;10 Cáceres;Total;1977;5.783
Total Nacional;10 Cáceres;Total;1976;5.999
Total Nacional;10 Cáceres;Total;1975;5.868
Total Nacional;10 Cáceres;Total;1974;6.181
Total Nacional;10 Cáceres;Total;1973;6.688
Total Nacional;10 Cáceres;Total;1972;6.886
Total Nacional;10 Cáceres;Total;1971;7.161
Total Nacional;10 Cáceres;Total;1970;7.543
Total Nacional;10 Cáceres;Total;1969;8.333
Total Nacional;10 Cáceres;Total;1968;8.886
Total Nacional;10 Cáceres;Total;1967;9.069
Total Nacional;10 Cáceres;Total;1966;9.846
Total Nacional;10 Cáceres;Total;1965;10.361
Total Nacional;10 Cáceres;Total;1964;11.504
Total Nacional;10 Cáceres;Total;1963;11.891
Total Nacional;10 Cáceres;Total;1962;12.401
Total Nacional;10 Cáceres;Total;1961;12.532
Total Nacional;10 Cáceres;Total;1960;13.218
Total Nacional;10 Cáceres;Total;1959;13.121
Total Nacional;10 Cáceres;Total;1958;13.030
Total Nacional;10 Cáceres;Total;1957;12.834
Total Nacional;10 Cáceres;Total;1956;12.652
Total Nacional;10 Cáceres;Total;1955;12.832
Total Nacional;10 Cáceres;Total;1954;12.953
Total Nacional;10 Cáceres;Total;1953;13.708
Total Nacional;10 Cáceres;Total;1952;13.796
Total Nacional;10 Cáceres;Total;1951;13.370
Total Nacional;10 Cáceres;Total;1950;12.784
Total Nacional;10 Cáceres;Total;1949;14.000
Total Nacional;10 Cáceres;Total;1948;15.127
Total Nacional;10 Cáceres;Total;1947;13.157
Total Nacional;10 Cáceres;Total;1946;12.994
Total Nacional;10 Cáceres;Total;1945;14.700
Total Nacional;10 Cáceres;Total;1944;14.577
Total Nacional;10 Cáceres;Total;1943;15.225
Total Nacional;10 Cáceres;Total;1942;12.774
Total Nacional;10 Cáceres;Total;1941;12.058
Total Nacional;10 Cáceres;Hombres;2022;1.139
Total Nacional;10 Cáceres;Hombres;2021;1.195
Total Nacional;10 Cáceres;Hombres;2020;1.213
Total Nacional;10 Cáceres;Hombres;2019;1.261
Total Nacional;10 Cáceres;Hombres;2018;1.296
Total Nacional;10 Cáceres;Hombres;2017;1.424
Total Nacional;10 Cáceres;Hombres;2016;1.482
Total Nacional;10 Cáceres;Hombres;2015;1.541
Total Nacional;10 Cáceres;Hombres;2014;1.472
Total Nacional;10 Cáceres;Hombres;2013;1.485
Total Nacional;10 Cáceres;Hombres;2012;1.496
Total Nacional;10 Cáceres;Hombres;2011;1.779
Total Nacional;10 Cáceres;Hombres;2010;1.706
Total Nacional;10 Cáceres;Hombres;2009;1.759
Total Nacional;10 Cáceres;Hombres;2008;1.830
Total Nacional;10 Cáceres;Hombres;2007;1.774
Total Nacional;10 Cáceres;Hombres;2006;1.741
Total Nacional;10 Cáceres;Hombres;2005;1.771
Total Nacional;10 Cáceres;Hombres;2004;1.786
Total Nacional;10 Cáceres;Hombres;2003;1.745
Total Nacional;10 Cáceres;Hombres;2002;1.755
Total Nacional;10 Cáceres;Hombres;2001;1.748
Total Nacional;10 Cáceres;Hombres;2000;1.861
Total Nacional;10 Cáceres;Hombres;1999;1.791
Total Nacional;10 Cáceres;Hombres;1998;1.853
Total Nacional;10 Cáceres;Hombres;1997;1.866
Total Nacional;10 Cáceres;Hombres;1996;1.878
Total Nacional;10 Cáceres;Hombres;1995;1.933
Total Nacional;10 Cáceres;Hombres;1994;2.083
Total Nacional;10 Cáceres;Hombres;1993;2.111
Total Nacional;10 Cáceres;Hombres;1992;2.122
Total Nacional;10 Cáceres;Hombres;1991;2.177
Total Nacional;10 Cáceres;Hombres;1990;2.223
Total Nacional;10 Cáceres;Hombres;1989;2.288
Total Nacional;10 Cáceres;Hombres;1988;2.412
Total Nacional;10 Cáceres;Hombres;1987;2.594
Total Nacional;10 Cáceres;Hombres;1986;2.580
Total Nacional;10 Cáceres;Hombres;1985;2.653
Total Nacional;10 Cáceres;Hombres;1984;2.483
Total Nacional;10 Cáceres;Hombres;1983;2.696
Total Nacional;10 Cáceres;Hombres;1982;2.847
Total Nacional;10 Cáceres;Hombres;1981;2.768
Total Nacional;10 Cáceres;Hombres;1980;2.919
Total Nacional;10 Cáceres;Hombres;1979;2.892
Total Nacional;10 Cáceres;Hombres;1978;3.040
Total Nacional;10 Cáceres;Hombres;1977;2.960
Total Nacional;10 Cáceres;Hombres;1976;3.110
Total Nacional;10 Cáceres;Hombres;1975;3.058
Total Nacional;10 Cáceres;Hombres;1974;3.132
Total Nacional;10 Cáceres;Hombres;1973;3.446
Total Nacional;10 Cáceres;Hombres;1972;3.536
Total Nacional;10 Cáceres;Hombres;1971;3.715
Total Nacional;10 Cáceres;Hombres;1970;3.873
Total Nacional;10 Cáceres;Hombres;1969;4.282
Total Nacional;10 Cáceres;Hombres;1968;4.555
Total Nacional;10 Cáceres;Hombres;1967;4.711
Total Nacional;10 Cáceres;Hombres;1966;5.016
Total Nacional;10 Cáceres;Hombres;1965;5.318
Total Nacional;10 Cáceres;Hombres;1964;5.937
Total Nacional;10 Cáceres;Hombres;1963;6.096
Total Nacional;10 Cáceres;Hombres;1962;6.410
Total Nacional;10 Cáceres;Hombres;1961;6.443
Total Nacional;10 Cáceres;Hombres;1960;6.877
Total Nacional;10 Cáceres;Hombres;1959;6.721
Total Nacional;10 Cáceres;Hombres;1958;6.724
Total Nacional;10 Cáceres;Hombres;1957;6.582
Total Nacional;10 Cáceres;Hombres;1956;6.451
Total Nacional;10 Cáceres;Hombres;1955;6.577
Total Nacional;10 Cáceres;Hombres;1954;6.624
Total Nacional;10 Cáceres;Hombres;1953;7.078
Total Nacional;10 Cáceres;Hombres;1952;7.040
Total Nacional;10 Cáceres;Hombres;1951;6.811
Total Nacional;10 Cáceres;Hombres;1950;6.612
Total Nacional;10 Cáceres;Hombres;1949;7.169
Total Nacional;10 Cáceres;Hombres;1948;7.718
Total Nacional;10 Cáceres;Hombres;1947;6.765
Total Nacional;10 Cáceres;Hombres;1946;6.690
Total Nacional;10 Cáceres;Hombres;1945;7.636
Total Nacional;10 Cáceres;Hombres;1944;7.545
Total Nacional;10 Cáceres;Hombres;1943;7.782
Total Nacional;10 Cáceres;Hombres;1942;6.705
Total Nacional;10 Cáceres;Hombres;1941;6.227
Total Nacional;10 Cáceres;Mujeres;2022;1.065
Total Nacional;10 Cáceres;Mujeres;2021;1.181
Total Nacional;10 Cáceres;Mujeres;2020;1.186
Total Nacional;10 Cáceres;Mujeres;2019;1.195
Total Nacional;10 Cáceres;Mujeres;2018;1.280
Total Nacional;10 Cáceres;Mujeres;2017;1.319
Total Nacional;10 Cáceres;Mujeres;2016;1.399
Total Nacional;10 Cáceres;Mujeres;2015;1.419
Total Nacional;10 Cáceres;Mujeres;2014;1.507
Total Nacional;10 Cáceres;Mujeres;2013;1.424
Total Nacional;10 Cáceres;Mujeres;2012;1.441
Total Nacional;10 Cáceres;Mujeres;2011;1.520
Total Nacional;10 Cáceres;Mujeres;2010;1.603
Total Nacional;10 Cáceres;Mujeres;2009;1.602
Total Nacional;10 Cáceres;Mujeres;2008;1.700
Total Nacional;10 Cáceres;Mujeres;2007;1.646
Total Nacional;10 Cáceres;Mujeres;2006;1.680
Total Nacional;10 Cáceres;Mujeres;2005;1.696
Total Nacional;10 Cáceres;Mujeres;2004;1.692
Total Nacional;10 Cáceres;Mujeres;2003;1.653
Total Nacional;10 Cáceres;Mujeres;2002;1.630
Total Nacional;10 Cáceres;Mujeres;2001;1.660
Total Nacional;10 Cáceres;Mujeres;2000;1.745
Total Nacional;10 Cáceres;Mujeres;1999;1.689
Total Nacional;10 Cáceres;Mujeres;1998;1.700
Total Nacional;10 Cáceres;Mujeres;1997;1.713
Total Nacional;10 Cáceres;Mujeres;1996;1.827
Total Nacional;10 Cáceres;Mujeres;1995;1.825
Total Nacional;10 Cáceres;Mujeres;1994;1.837
Total Nacional;10 Cáceres;Mujeres;1993;1.887
Total Nacional;10 Cáceres;Mujeres;1992;2.081
Total Nacional;10 Cáceres;Mujeres;1991;1.993
Total Nacional;10 Cáceres;Mujeres;1990;2.011
Total Nacional;10 Cáceres;Mujeres;1989;2.109
Total Nacional;10 Cáceres;Mujeres;1988;2.267
Total Nacional;10 Cáceres;Mujeres;1987;2.351
Total Nacional;10 Cáceres;Mujeres;1986;2.430
Total Nacional;10 Cáceres;Mujeres;1985;2.393
Total Nacional;10 Cáceres;Mujeres;1984;2.268
Total Nacional;10 Cáceres;Mujeres;1983;2.348
Total Nacional;10 Cáceres;Mujeres;1982;2.484
Total Nacional;10 Cáceres;Mujeres;1981;2.550
Total Nacional;10 Cáceres;Mujeres;1980;2.686
Total Nacional;10 Cáceres;Mujeres;1979;2.632
Total Nacional;10 Cáceres;Mujeres;1978;2.710
Total Nacional;10 Cáceres;Mujeres;1977;2.823
Total Nacional;10 Cáceres;Mujeres;1976;2.889
Total Nacional;10 Cáceres;Mujeres;1975;2.810
Total Nacional;10 Cáceres;Mujeres;1974;3.049
Total Nacional;10 Cáceres;Mujeres;1973;3.242
Total Nacional;10 Cáceres;Mujeres;1972;3.350
Total Nacional;10 Cáceres;Mujeres;1971;3.446
Total Nacional;10 Cáceres;Mujeres;1970;3.670
Total Nacional;10 Cáceres;Mujeres;1969;4.051
Total Nacional;10 Cáceres;Mujeres;1968;4.331
Total Nacional;10 Cáceres;Mujeres;1967;4.358
Total Nacional;10 Cáceres;Mujeres;1966;4.830
Total Nacional;10 Cáceres;Mujeres;1965;5.043
Total Nacional;10 Cáceres;Mujeres;1964;5.567
Total Nacional;10 Cáceres;Mujeres;1963;5.795
Total Nacional;10 Cáceres;Mujeres;1962;5.991
Total Nacional;10 Cáceres;Mujeres;1961;6.089
Total Nacional;10 Cáceres;Mujeres;1960;6.341
Total Nacional;10 Cáceres;Mujeres;1959;6.400
Total Nacional;10 Cáceres;Mujeres;1958;6.306
Total Nacional;10 Cáceres;Mujeres;1957;6.252
Total Nacional;10 Cáceres;Mujeres;1956;6.201
Total Nacional;10 Cáceres;Mujeres;1955;6.255
Total Nacional;10 Cáceres;Mujeres;1954;6.329
Total Nacional;10 Cáceres;Mujeres;1953;6.630
Total Nacional;10 Cáceres;Mujeres;1952;6.756
Total Nacional;10 Cáceres;Mujeres;1951;6.559
Total Nacional;10 Cáceres;Mujeres;1950;6.172
Total Nacional;10 Cáceres;Mujeres;1949;6.831
Total Nacional;10 Cáceres;Mujeres;1948;7.409
Total Nacional;10 Cáceres;Mujeres;1947;6.392
Total Nacional;10 Cáceres;Mujeres;1946;6.304
Total Nacional;10 Cáceres;Mujeres;1945;7.064
Total Nacional;10 Cáceres;Mujeres;1944;7.032
Total Nacional;10 Cáceres;Mujeres;1943;7.443
Total Nacional;10 Cáceres;Mujeres;1942;6.069
Total Nacional;10 Cáceres;Mujeres;1941;5.831
Total Nacional;11 Cádiz;Total;2022;8.661
Total Nacional;11 Cádiz;Total;2021;8.941
Total Nacional;11 Cádiz;Total;2020;9.183
Total Nacional;11 Cádiz;Total;2019;9.825
Total Nacional;11 Cádiz;Total;2018;10.314
Total Nacional;11 Cádiz;Total;2017;10.849
Total Nacional;11 Cádiz;Total;2016;11.813
Total Nacional;11 Cádiz;Total;2015;11.854
Total Nacional;11 Cádiz;Total;2014;12.091
Total Nacional;11 Cádiz;Total;2013;11.863
Total Nacional;11 Cádiz;Total;2012;12.957
Total Nacional;11 Cádiz;Total;2011;13.306
Total Nacional;11 Cádiz;Total;2010;13.894
Total Nacional;11 Cádiz;Total;2009;14.125
Total Nacional;11 Cádiz;Total;2008;14.531
Total Nacional;11 Cádiz;Total;2007;14.490
Total Nacional;11 Cádiz;Total;2006;14.766
Total Nacional;11 Cádiz;Total;2005;14.530
Total Nacional;11 Cádiz;Total;2004;14.062
Total Nacional;11 Cádiz;Total;2003;13.532
Total Nacional;11 Cádiz;Total;2002;13.027
Total Nacional;11 Cádiz;Total;2001;12.894
Total Nacional;11 Cádiz;Total;2000;12.772
Total Nacional;11 Cádiz;Total;1999;12.380
Total Nacional;11 Cádiz;Total;1998;12.107
Total Nacional;11 Cádiz;Total;1997;12.368
Total Nacional;11 Cádiz;Total;1996;12.118
Total Nacional;11 Cádiz;Total;1995;12.617
Total Nacional;11 Cádiz;Total;1994;12.899
Total Nacional;11 Cádiz;Total;1993;13.732
Total Nacional;11 Cádiz;Total;1992;14.011
Total Nacional;11 Cádiz;Total;1991;14.399
Total Nacional;11 Cádiz;Total;1990;14.860
Total Nacional;11 Cádiz;Total;1989;15.057
Total Nacional;11 Cádiz;Total;1988;15.518
Total Nacional;11 Cádiz;Total;1987;15.935
Total Nacional;11 Cádiz;Total;1986;16.311
Total Nacional;11 Cádiz;Total;1985;16.707
Total Nacional;11 Cádiz;Total;1984;17.717
Total Nacional;11 Cádiz;Total;1983;18.316
Total Nacional;11 Cádiz;Total;1982;19.037
Total Nacional;11 Cádiz;Total;1981;19.592
Total Nacional;11 Cádiz;Total;1980;20.267
Total Nacional;11 Cádiz;Total;1979;20.823
Total Nacional;11 Cádiz;Total;1978;21.477
Total Nacional;11 Cádiz;Total;1977;21.855
Total Nacional;11 Cádiz;Total;1976;22.154
Total Nacional;11 Cádiz;Total;1975;21.785
Total Nacional;11 Cádiz;Total;1974;22.038
Total Nacional;11 Cádiz;Total;1973;21.663
Total Nacional;11 Cádiz;Total;1972;22.048
Total Nacional;11 Cádiz;Total;1971;22.341
Total Nacional;11 Cádiz;Total;1970;22.677
Total Nacional;11 Cádiz;Total;1969;22.805
Total Nacional;11 Cádiz;Total;1968;22.578
Total Nacional;11 Cádiz;Total;1967;23.202
Total Nacional;11 Cádiz;Total;1966;22.493
Total Nacional;11 Cádiz;Total;1965;22.782
Total Nacional;11 Cádiz;Total;1964;23.534
Total Nacional;11 Cádiz;Total;1963;22.232
Total Nacional;11 Cádiz;Total;1962;21.455
Total Nacional;11 Cádiz;Total;1961;21.612
Total Nacional;11 Cádiz;Total;1960;21.715
Total Nacional;11 Cádiz;Total;1959;21.736
Total Nacional;11 Cádiz;Total;1958;21.886
Total Nacional;11 Cádiz;Total;1957;21.716
Total Nacional;11 Cádiz;Total;1956;19.182
Total Nacional;11 Cádiz;Total;1955;19.160
Total Nacional;11 Cádiz;Total;1954;17.663
Total Nacional;11 Cádiz;Total;1953;18.606
Total Nacional;11 Cádiz;Total;1952;18.508
Total Nacional;11 Cádiz;Total;1951;17.343
Total Nacional;11 Cádiz;Total;1950;15.771
Total Nacional;11 Cádiz;Total;1949;17.340
Total Nacional;11 Cádiz;Total;1948;18.752
Total Nacional;11 Cádiz;Total;1947;17.029
Total Nacional;11 Cádiz;Total;1946;16.947
Total Nacional;11 Cádiz;Total;1945;18.465
Total Nacional;11 Cádiz;Total;1944;17.232
Total Nacional;11 Cádiz;Total;1943;18.903
Total Nacional;11 Cádiz;Total;1942;15.119
Total Nacional;11 Cádiz;Total;1941;14.429
Total Nacional;11 Cádiz;Hombres;2022;4.502
Total Nacional;11 Cádiz;Hombres;2021;4.682
Total Nacional;11 Cádiz;Hombres;2020;4.656
Total Nacional;11 Cádiz;Hombres;2019;5.039
Total Nacional;11 Cádiz;Hombres;2018;5.403
Total Nacional;11 Cádiz;Hombres;2017;5.601
Total Nacional;11 Cádiz;Hombres;2016;6.070
Total Nacional;11 Cádiz;Hombres;2015;6.110
Total Nacional;11 Cádiz;Hombres;2014;6.207
Total Nacional;11 Cádiz;Hombres;2013;6.117
Total Nacional;11 Cádiz;Hombres;2012;6.635
Total Nacional;11 Cádiz;Hombres;2011;6.875
Total Nacional;11 Cádiz;Hombres;2010;7.211
Total Nacional;11 Cádiz;Hombres;2009;7.287
Total Nacional;11 Cádiz;Hombres;2008;7.529
Total Nacional;11 Cádiz;Hombres;2007;7.405
Total Nacional;11 Cádiz;Hombres;2006;7.615
Total Nacional;11 Cádiz;Hombres;2005;7.580
Total Nacional;11 Cádiz;Hombres;2004;7.325
Total Nacional;11 Cádiz;Hombres;2003;6.981
Total Nacional;11 Cádiz;Hombres;2002;6.677
Total Nacional;11 Cádiz;Hombres;2001;6.652
Total Nacional;11 Cádiz;Hombres;2000;6.722
Total Nacional;11 Cádiz;Hombres;1999;6.343
Total Nacional;11 Cádiz;Hombres;1998;6.276
Total Nacional;11 Cádiz;Hombres;1997;6.418
Total Nacional;11 Cádiz;Hombres;1996;6.253
Total Nacional;11 Cádiz;Hombres;1995;6.529
Total Nacional;11 Cádiz;Hombres;1994;6.746
Total Nacional;11 Cádiz;Hombres;1993;7.140
Total Nacional;11 Cádiz;Hombres;1992;7.229
Total Nacional;11 Cádiz;Hombres;1991;7.506
Total Nacional;11 Cádiz;Hombres;1990;7.721
Total Nacional;11 Cádiz;Hombres;1989;7.746
Total Nacional;11 Cádiz;Hombres;1988;7.942
Total Nacional;11 Cádiz;Hombres;1987;8.257
Total Nacional;11 Cádiz;Hombres;1986;8.520
Total Nacional;11 Cádiz;Hombres;1985;8.640
Total Nacional;11 Cádiz;Hombres;1984;9.158
Total Nacional;11 Cádiz;Hombres;1983;9.529
Total Nacional;11 Cádiz;Hombres;1982;9.905
Total Nacional;11 Cádiz;Hombres;1981;10.167
Total Nacional;11 Cádiz;Hombres;1980;10.558
Total Nacional;11 Cádiz;Hombres;1979;10.782
Total Nacional;11 Cádiz;Hombres;1978;11.096
Total Nacional;11 Cádiz;Hombres;1977;11.180
Total Nacional;11 Cádiz;Hombres;1976;11.452
Total Nacional;11 Cádiz;Hombres;1975;11.128
Total Nacional;11 Cádiz;Hombres;1974;11.271
Total Nacional;11 Cádiz;Hombres;1973;11.087
Total Nacional;11 Cádiz;Hombres;1972;11.303
Total Nacional;11 Cádiz;Hombres;1971;11.606
Total Nacional;11 Cádiz;Hombres;1970;11.588
Total Nacional;11 Cádiz;Hombres;1969;11.621
Total Nacional;11 Cádiz;Hombres;1968;11.528
Total Nacional;11 Cádiz;Hombres;1967;11.910
Total Nacional;11 Cádiz;Hombres;1966;11.761
Total Nacional;11 Cádiz;Hombres;1965;11.663
Total Nacional;11 Cádiz;Hombres;1964;12.178
Total Nacional;11 Cádiz;Hombres;1963;11.464
Total Nacional;11 Cádiz;Hombres;1962;11.051
Total Nacional;11 Cádiz;Hombres;1961;11.007
Total Nacional;11 Cádiz;Hombres;1960;11.282
Total Nacional;11 Cádiz;Hombres;1959;11.245
Total Nacional;11 Cádiz;Hombres;1958;11.297
Total Nacional;11 Cádiz;Hombres;1957;11.129
Total Nacional;11 Cádiz;Hombres;1956;9.818
Total Nacional;11 Cádiz;Hombres;1955;9.812
Total Nacional;11 Cádiz;Hombres;1954;9.143
Total Nacional;11 Cádiz;Hombres;1953;9.594
Total Nacional;11 Cádiz;Hombres;1952;9.756
Total Nacional;11 Cádiz;Hombres;1951;8.887
Total Nacional;11 Cádiz;Hombres;1950;8.028
Total Nacional;11 Cádiz;Hombres;1949;8.985
Total Nacional;11 Cádiz;Hombres;1948;9.714
Total Nacional;11 Cádiz;Hombres;1947;8.869
Total Nacional;11 Cádiz;Hombres;1946;8.697
Total Nacional;11 Cádiz;Hombres;1945;9.587
Total Nacional;11 Cádiz;Hombres;1944;8.864
Total Nacional;11 Cádiz;Hombres;1943;9.816
Total Nacional;11 Cádiz;Hombres;1942;7.888
Total Nacional;11 Cádiz;Hombres;1941;7.529
Total Nacional;11 Cádiz;Mujeres;2022;4.159
Total Nacional;11 Cádiz;Mujeres;2021;4.259
Total Nacional;11 Cádiz;Mujeres;2020;4.527
Total Nacional;11 Cádiz;Mujeres;2019;4.786
Total Nacional;11 Cádiz;Mujeres;2018;4.911
Total Nacional;11 Cádiz;Mujeres;2017;5.248
Total Nacional;11 Cádiz;Mujeres;2016;5.743
Total Nacional;11 Cádiz;Mujeres;2015;5.744
Total Nacional;11 Cádiz;Mujeres;2014;5.884
Total Nacional;11 Cádiz;Mujeres;2013;5.746
Total Nacional;11 Cádiz;Mujeres;2012;6.322
Total Nacional;11 Cádiz;Mujeres;2011;6.431
Total Nacional;11 Cádiz;Mujeres;2010;6.683
Total Nacional;11 Cádiz;Mujeres;2009;6.838
